"파일","줄","원문","대사"
"src/data/npcTalk.js","6","낯선 사이","낯선 사이"
"src/data/npcTalk.js","6","아는 사이","아는 사이"
"src/data/npcTalk.js","6","친구","친구"
"src/data/npcTalk.js","6","절친","절친"
"src/data/npcTalk.js","13","{name}(이)구나. 용건이 있느냐?","{name}(이)구나. 용건이 있느냐?"
"src/data/npcTalk.js","14","{name}(이)구나. 용건이 있느냐?","{name}(이)구나. 용건이 있느냐?"
"src/data/npcTalk.js","15","앉거라. 무릎이 쑤시던 참이구나...","앉거라. 무릎이 쑤시던 참이구나..."
"src/data/npcTalk.js","16","네 발소리는 이제 멀리서도 알아차리겠구나.","네 발소리는 이제 멀리서도 알아차리겠구나."
"src/data/npcTalk.js","20","이 마을에 드래곤들이 모여 산 지 삼백 년. 많은 일들이 있었고, 마침내 평화로워졌단다.","이 마을에 드래곤들이 모여 산 지 삼백 년. 많은 일들이 있었고, 마침내 평화로워졌단다."
"src/data/npcTalk.js","21","숲 깊은 곳은 조심하려무나. 훗날 강해진다면 멀리 나가도 괜찮을 테지만...","숲 깊은 곳은 조심하려무나. 훗날 강해진다면 멀리 나가도 괜찮을 테지만..."
"src/data/npcTalk.js","22","배가 고프면 물가에서 물고기를 잡거나 덤불 열매를 먹어도 된단다.","배가 고프면 물가에서 물고기를 잡거나 덤불 열매를 먹어도 된단다."
"src/data/npcTalk.js","23","드래곤들은 불, 얼음, 번개 중 하나의 속성을 가지고 태어난단다. 각자의 몸에 맞는 속성이 있는 게야.","드래곤들은 불, 얼음, 번개 중 하나의 속성을 가지고 태어난단다. 각자의 몸에 맞는 속성이 있는 게야."
"src/data/npcTalk.js","24","나라는 수련을 간 게냐. 어쩜 제 어미와 똑 닮았는지...... 정신이 하나도 없구나. (웃는다.)","나라는 수련을 간 게냐. 어쩜 제 어미와 똑 닮았는지...... 정신이 하나도 없구나. (웃는다.)"
"src/data/npcTalk.js","25","나라와 모쪼록 잘 지내면 좋겠구나. 아직 어리기도 하고, 하나뿐인 내 딸이란다.","나라와 모쪼록 잘 지내면 좋겠구나. 아직 어리기도 하고, 하나뿐인 내 딸이란다."
"src/data/npcTalk.js","28","스켈레곤이 되어버린 모르가스는 이 마을을 지키던 드래곤이었단다. 억울한 죽음을 당했지...","스켈레곤이 되어버린 모르가스는 이 마을을 지키던 드래곤이었단다. 억울한 죽음을 당했지..."
